SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
24.6,6,192562,23,21,ack,55,7,5995,16091,885005,Router,Switch1,19.354499,19.354499,19.364502,0,328.19309,18050.6,55,0.00844,0,19.344496,19.374506,1.030048,50.059112,Normal
5,24.5,43671,23,24,tcp,1540,6,1364,16091,24780100,Router,server1,5.341675,5.341675,5.351798,0,328.204637,505434,1540,0.236321,0,5.321429,5.351798,1,50.027339,Normal
9,24.9,275174,9,21,tcp,1540,10,8447,16085,24770900,clien-9,Switch1,26.733864,26.733864,26.743987,0,328.063862,505218,1540,0.236234,0,26.733864,26.764234,1,50.030088,Normal
8.1,24.28,313376,8,21,cbr,1000,29,583,6250,6250000,clien-8,Switch1,29.664,29.664,29.67408,0,124.941228,124941,1000,0.059605,0.001269,29.664,29.695509,25,75.02352,Normal
7,24.7,305740,23,24,tcp,1540,8,9218,16090,24778600,Router,server1,29.10016,29.10024,29.110363,0.00008,328.167486,505378,1540,0.236307,0.00008,29.079914,29.110363,1,50.029842,Normal
17.2,24.59,22011,17,22,cbr,692,38,845,9108,6302740,client-17,switch2,21.48,21.4806,21.490655,0.0006,1016.424609,703366,692,0.060108,0.037394,21.48,21.517394,1,9.960822,UDP-Flood
8,24.8,37960,8,21,tcp,1540,9,1187,16088,24775500,clien-8,Switch1,4.782082,4.782082,4.792205,0,328.11323,505294,1540,0.236278,0,4.782082,4.812451,1,50.031854,Normal
24.4,4,472732,21,4,ack,55,5,13414,16091,885005,Switch1,clien-4,41.908149,41.908149,41.918152,0,328.218006,18052,55,0.00844,0,41.888142,41.918152,1.030035,50.055377,Normal
24.14,14,186087,24,23,ack,55,15,5792,16103,885665,server1,Router,18.734298,18.734298,18.744301,0,328.432001,18063.8,55,0.008446,0,18.734298,18.764307,1.030038,50.059974,Normal
5,24.5,4344,23,24,tcp,1540,6,134,16091,24780100,Router,server1,1.639202,1.639205,1.649328,0.000003,328.204637,505434,1540,0.236321,0.000003,1.618955,1.649328,1,50.027339,Normal
15.1,24.35,552205,15,22,cbr,1000,36,2873,6250,6250000,clien-15,Switch2,47.984,47.984,47.99408,0,124.942227,124942,1000,0.059605,0.000816,47.984,48.015056,25,75.02312,Normal
3,24.3,560808,23,24,tcp,1540,4,15644,16091,24780100,Router,server1,48.664528,48.664646,48.67477,0.000118,328.240918,505490,1540,0.236321,0.000118,48.644281,48.67477,1,50.02192,Normal
6,24.6,210858,23,24,tcp,1540,7,6580,16091,24780100,Router,server1,21.086478,21.086478,21.096602,0,328.192835,505416,1540,0.236321,0,21.066232,21.096602,1,50.029102,Normal
15,24.15,442951,23,24,tcp,1540,16,12677,16092,24781700,Router,server1,39.624007,39.624046,39.63417,0.000039,328.205808,505437,1540,0.236337,0.000039,39.603761,39.63417,1,50.030211,Normal
24.3,3,31151,21,3,ack,55,4,968,16091,885005,Switch1,clien-3,4.163605,4.163605,4.173608,0,328.241051,18053.3,55,0.00844,0,4.143598,4.173608,1.030029,50.051929,Normal
8,24.8,524486,21,23,tcp,1540,9,14726,16088,24775500,Switch1,Router,45.868555,45.868555,45.878679,0,328.11323,505294,1540,0.236278,0,45.858432,45.888802,1,50.031854,Normal
13.2,24.55,66622,22,23,cbr,1500,34,2553,9108,13662000,switch2,router,63.181909,63.183829,63.193949,0.00192,1016.443439,1524670,1500,0.130291,0.03504,63.171429,63.206469,1,9.960656,UDP-Flood
6.2,24.48,55686,23,24,cbr,1500,27,2240,9588,14382000,router,server1,52.94024,52.94024,52.95036,0,1066.08599,1599130,1500,0.137157,0.03036,52.92,52.95036,1,9.993646,UDP-Flood
24.15,15,265118,23,22,ack,55,16,8188,16092,885060,Router,Switch2,25.971533,25.971533,25.981536,0,328.206042,18051.3,55,0.008441,0,25.96153,25.991539,1.030045,50.060221,Normal
4.2,24.46,70107,21,23,cbr,1500,25,2963,10050,15075000,switch1,router,66.468766,66.468766,66.478886,0,1118.27935,1677420,1500,0.143766,0.03072,66.458286,66.489006,1,9.987021,UDP-Flood
24.12,12,81540,23,22,ack,55,13,2539,16103,885665,Router,Switch2,8.897933,8.897933,8.907936,0,328.491596,18067,55,0.008446,0,8.88793,8.917939,1.030026,50.051067,Normal
9,24.9,20022,9,21,tcp,1540,10,628,16085,24770900,clien-9,Switch1,3.092203,3.092203,3.102326,0,328.063862,505218,1540,0.236234,0,3.092203,3.122573,1,50.030088,Normal
11.2,24.53,29040,22,23,cbr,1500,32,1112,9108,13662000,switch2,router,28.073217,28.074417,28.084537,0.0012,1016.449678,1524670,1500,0.130291,0.080362,28.062857,28.143219,1,9.960601,UDP-Flood
24.1,1,210650,24,23,ack,55,2,6569,16091,885005,server1,Router,21.047967,21.047967,21.057971,0,328.297902,18056.4,55,0.00844,0,21.047967,21.077977,1.030016,50.043427,Normal
24.9,9,47111,21,9,ack,55,10,1458,16085,884675,Switch1,clien-9,5.666062,5.666062,5.676066,0,328.064183,18043.5,55,0.008437,0,5.646056,5.676066,1.030058,50.060098,Normal
24.3,3,430286,23,21,ack,55,4,12348,16091,885005,Router,Switch1,38.643325,38.643325,38.653328,0,328.241051,18053.3,55,0.00844,0,38.633322,38.663331,1.030029,50.051929,Normal
12.2,24.54,77163,12,22,cbr,1500,33,2812,8655,12982500,client-12,switch2,73.176857,73.177097,73.187217,0.00024,962.684973,1444030,1500,0.123811,0.032591,73.176857,73.209448,1,9.99048,UDP-Flood
9.1,24.29,599782,9,21,cbr,1000,30,4174,6250,6250000,clien-9,Switch1,58.392,58.392,58.40208,0,124.940828,124941,1000,0.059605,0.00144,58.392,58.42368,25,75.02368,Normal
2,24.2,69284,21,23,tcp,1540,3,2166,16091,24780100,Switch1,Router,7.745118,7.745118,7.755242,0,328.26404,505526,1540,0.236321,0,7.734995,7.765365,1,50.018467,Normal
10.2,24.52,68751,10,22,cbr,1500,31,2503,8655,12982500,client-10,switch2,65.214286,65.214646,65.224766,0.00036,962.684973,1444030,1500,0.123811,0.03295,65.214286,65.247236,1,9.99048,UDP-Flood
24.4,4,462860,23,21,ack,55,5,13169,16091,885005,Router,Switch1,41.141702,41.141702,41.151706,0,328.218006,18052,55,0.00844,0,41.131699,41.161709,1.030035,50.055377,Normal
24.14,14,218323,23,22,ack,55,15,6810,16103,885665,Router,Switch2,21.780919,21.780919,21.790923,0,328.432001,18063.8,55,0.008446,0,21.770916,21.800926,1.030038,50.059974,Normal
13,24.13,347579,22,23,tcp,1540,14,10276,16103,24798600,Switch2,Router,32.298203,32.29888,32.309003,0.000677,328.460131,505828,1540,0.236498,0.001601,32.28805,32.32002,1,50.025737,Normal
5.1,24.25,641529,23,24,cbr,1000,26,6247,6250,6250000,Router,server1,74.99656,74.99696,75.00704,0.0004,124.942427,124942,1000,0.059605,0.0008,74.976,75.00704,25,75.02304,Normal
9,24.9,223921,21,23,tcp,1540,10,6990,16085,24770900,Switch1,Router,22.304214,22.304214,22.314337,0,328.063862,505218,1540,0.236234,0,22.294091,22.32446,1,50.030088,Normal
9,24.9,499110,23,24,tcp,1540,10,14089,16085,24770900,Router,server1,43.933485,43.934654,43.944778,0.001169,328.063862,505218,1540,0.236234,0.001846,43.912562,43.944778,1,50.030088,Normal
11,24.11,17880,11,22,tcp,1540,12,566,16103,24798600,clien-11,Switch2,2.893202,2.893202,2.903325,0,328.522879,505925,1540,0.236498,0,2.893202,2.923571,1,50.016373,Normal
24.9,9,6865,21,9,ack,55,10,208,16085,884675,Switch1,clien-9,1.874123,1.874123,1.884126,0,328.064183,18043.5,55,0.008437,0,1.854117,1.884126,1.030058,50.060098,Normal
25,20,69837,25,23,ack,576,0,708593,7110,4095360,webcache,router,66.239728,66.278175,66.317391,0.038447,95.145988,54804.1,576,0.039056,0.126925,66.239728,66.366653,1.27255,75.999821,Normal
8,24.8,298949,23,24,tcp,1540,9,9047,16088,24775500,Router,server1,28.579779,28.579779,28.589902,0,328.11323,505294,1540,0.236278,0,28.559533,28.589902,1,50.031854,Normal
15,24.15,82071,22,23,tcp,1540,16,2568,16092,24781700,Switch2,Router,8.951347,8.951347,8.96147,0,328.205808,505437,1540,0.236337,0,8.941224,8.971594,1,50.030211,Normal
24.12,12,56711,23,22,ack,55,13,1770,16103,885665,Router,Switch2,6.560269,6.560269,6.570272,0,328.491596,18067,55,0.008446,0,6.550266,6.580275,1.030026,50.051067,Normal
24.3,3,21305,24,23,ack,55,4,651,16091,885005,server1,Router,3.213024,3.213024,3.223027,0,328.241051,18053.3,55,0.00844,0,3.213024,3.243034,1.030029,50.051929,Normal
4,24.4,479456,21,23,tcp,1540,5,13599,16091,24780100,Switch1,Router,42.416218,42.416218,42.426341,0,328.217832,505455,1540,0.236321,0,42.406095,42.436464,1,50.025368,Normal
6.1,24.26,602043,6,21,cbr,1000,27,4286,6250,6250000,clien-6,Switch1,59.288,59.288,59.29808,0,124.942027,124942,1000,0.059605,0.00096,59.288,59.3192,25,75.0232,Normal
24.14,14,234200,22,14,ack,55,15,7292,16103,885665,Switch2,clien-14,23.282744,23.282744,23.292747,0,328.432001,18063.8,55,0.008446,0,23.262738,23.292747,1.030038,50.059974,Normal
24.3,3,306722,24,23,ack,55,4,9233,16091,885005,server1,Router,29.154002,29.154002,29.164005,0,328.241051,18053.3,55,0.00844,0,29.154002,29.184011,1.030029,50.051929,Normal
7,24.7,207230,21,23,tcp,1540,8,6470,16090,24778600,Switch1,Router,20.733119,20.733119,20.743243,0,328.167486,505378,1540,0.236307,0.000123,20.722996,20.753489,1,50.029842,Normal
7.1,24.27,600143,7,21,cbr,1000,28,4192,6250,6250000,clien-7,Switch1,58.536,58.536,58.54608,0,124.941627,124942,1000,0.059605,0.00112,58.536,58.56736,25,75.02336,UDP-Flood
24.14,14,318229,24,23,ack,55,15,9529,16103,885665,server1,Router,30.034671,30.034671,30.044674,0,328.432001,18063.8,55,0.008446,0,30.034671,30.064681,1.030038,50.059974,Normal
6.2,24.48,14115,6,21,cbr,692,27,571,9588,6634900,client-6,switch1,14.165429,14.165789,14.175844,0.00036,1066.08599,737732,692,0.063275,0.032695,14.165429,14.198124,1,9.993646,UDP-Flood
7,24.7,402158,21,23,tcp,1540,8,11644,16090,24778600,Switch1,Router,36.484978,36.484978,36.495101,0,328.167486,505378,1540,0.236307,0.000508,36.474854,36.505732,1,50.029842,Normal
19.1,24.39,323191,22,23,cbr,1000,40,677,6250,6250000,Switch2,Router,30.42608,30.426829,30.436909,0.000749,124.940628,124941,1000,0.059605,0.001592,30.416,30.447832,25,75.02376,Normal
24.14,14,165711,22,14,ack,55,15,5169,16103,885665,Switch2,clien-14,16.839459,16.839459,16.849462,0,328.432001,18063.8,55,0.008446,0,16.819452,16.849462,1.030038,50.059974,Normal
24.1,1,290453,23,21,ack,55,2,8828,16091,885005,Router,Switch1,27.916312,27.916312,27.926315,0,328.297902,18056.4,55,0.00844,0,27.906309,27.936318,1.030016,50.043427,Normal
3.1,24.23,613068,23,24,cbr,1000,24,4834,6250,6250000,Router,server1,63.6924,63.69264,63.70272,0.00024,124.943226,124943,1000,0.059605,0.00048,63.672,63.70272,25,75.02272,Normal
5.1,24.25,589621,21,23,cbr,1000,26,3670,6250,6250000,Switch1,Router,54.37008,54.37048,54.38056,0.0004,124.942427,124942,1000,0.059605,0.0008,54.36,54.39104,25,75.02304,Normal
5.2,24.47,62505,23,24,cbr,1500,26,2398,9108,13662000,router,server1,59.39088,59.39352,59.40364,0.00264,1016.522962,1524780,1500,0.130291,0.03564,59.368,59.40364,1,9.959955,UDP-Flood
24.4,4,40779,21,4,ack,55,5,1265,16091,885005,Switch1,clien-4,5.069293,5.069293,5.079296,0,328.218006,18052,55,0.00844,0,5.049286,5.079296,1.030035,50.055377,Normal
24.1,1,436873,21,1,ack,55,2,12521,16091,885005,Switch1,clien-1,39.157912,39.157912,39.167915,0,328.297902,18056.4,55,0.00844,0,39.137906,39.167915,1.030016,50.043427,Normal
24.3,3,336905,21,3,ack,55,4,9999,16091,885005,Switch1,clien-3,31.488909,31.488909,31.498912,0,328.241051,18053.3,55,0.00844,0,31.468902,31.498912,1.030029,50.051929,Smurf
16.2,24.58,32518,22,23,cbr,1500,37,1244,9108,13662000,switch2,router,31.291503,31.293063,31.303183,0.00156,1016.430848,1524650,1500,0.130291,0.03408,31.281143,31.315223,1,9.960767,UDP-Flood
24.16,2,71837,21,2,tcp,64,0,-1,210,13440,switch1,client-2,68.076224,68.076224,68.086229,0,23.255775,1488.369621,64,0.000128,0.030015,68.056214,68.086229,0.056214,9.086229,Smurf
24.7,7,449053,23,21,ack,55,8,12817,16090,884950,Router,Switch1,40.082272,40.082272,40.092275,0,328.167767,18049.2,55,0.00844,0,40.072269,40.102279,1.030051,50.059851,Normal
12,24.12,404985,12,22,tcp,1540,13,11727,16103,24798600,clien-12,Switch2,36.691516,36.691516,36.701639,0,328.491489,505876,1540,0.236498,0.000684,36.691516,36.72257,1,50.021057,Normal
25.1,26,49838,25,26,tcp,55,1,44,5630,309650,webcache,webserverlistin,47.419104,47.419104,47.449744,0,656.270166,36094.9,55,0.002953,0.03064,47.419104,47.449744,1.417136,9.99592,Normal
24.5,5,150201,21,5,ack,55,6,4673,16091,885005,Switch1,clien-5,15.376105,15.376105,15.386108,0,328.204851,18051.3,55,0.00844,0,15.356098,15.386108,1.030042,50.057349,Normal
24.4,4,346142,23,21,ack,55,5,10230,16091,885005,Router,Switch1,32.188026,32.188026,32.198029,0,328.218006,18052,55,0.00844,0,32.178022,32.208032,1.030035,50.055377,Normal
24.5,5,329105,23,21,ack,55,6,9800,16091,885005,Router,Switch1,30.880093,30.880093,30.890097,0,328.204851,18051.3,55,0.00844,0,30.87009,30.9001,1.030042,50.057349,Normal
13,24.13,82514,13,22,tcp,1540,14,2571,16103,24798600,clien-13,Switch2,8.979304,8.979304,8.989427,0,328.460131,505828,1540,0.236498,0,8.979304,9.009674,1,50.025737,Normal
9,24.9,399027,9,21,tcp,1540,10,11565,16085,24770900,clien-9,Switch1,36.234941,36.234941,36.245064,0,328.063862,505218,1540,0.236234,0.001477,36.234941,36.266787,1,50.030088,Normal
24.9,9,328530,21,9,ack,55,10,9776,16085,884675,Switch1,clien-9,30.845955,30.845955,30.855958,0,328.064183,18043.5,55,0.008437,0,30.825949,30.855958,1.030058,50.060098,Normal
24.14,14,363115,24,23,ack,55,15,10652,16103,885665,server1,Router,33.480481,33.480481,33.490484,0,328.432001,18063.8,55,0.008446,0,33.480481,33.51049,1.030038,50.059974,Normal
6.2,24.48,25246,6,21,cbr,692,27,1019,9588,6634900,client-6,switch1,24.549429,24.549789,24.559844,0.00036,1066.08599,737732,692,0.063275,0.031015,24.549429,24.580444,1,9.993646,UDP-Flood
19.1,24.39,498064,23,24,cbr,1000,40,2354,6250,6250000,Router,server1,43.85288,43.853718,43.863798,0.000838,124.940628,124941,1000,0.059605,0.001558,43.832,43.863798,25,75.02376,Normal
15,24.15,97962,23,24,tcp,1540,16,3061,16092,24781700,Router,server1,10.457275,10.457275,10.467398,0,328.205808,505437,1540,0.236337,0,10.437029,10.467398,1,50.030211,Normal
13.1,24.33,425248,22,23,cbr,1000,34,1656,6250,6250000,Switch2,Router,38.25808,38.258327,38.268407,0.000247,124.943026,124943,1000,0.059605,0.00061,38.248,38.27885,25,75.0228,Normal
17.2,24.59,77116,23,24,cbr,1500,38,2960,9108,13662000,router,server1,73.141017,73.143057,73.153177,0.00204,1016.424609,1524640,1500,0.130291,0.03432,73.118857,73.153177,1,9.960822,UDP-Flood
24.2,2,153335,23,21,ack,55,3,4778,16091,885005,Router,Switch1,15.660034,15.660034,15.670037,0,328.26412,18054.5,55,0.00844,0,15.65003,15.68004,1.030022,50.048477,Normal
24.5,5,206197,21,5,ack,55,6,6424,16091,885005,Switch1,clien-5,20.648404,20.648404,20.658408,0,328.204851,18051.3,55,0.00844,0,20.628398,20.658408,1.030042,50.057349,Normal
7.1,24.27,586044,21,23,cbr,1000,28,3492,6250,6250000,Switch1,Router,52.94608,52.94664,52.95672,0.00056,124.941627,124942,1000,0.059605,0.00112,52.936,52.96736,25,75.02336,Normal
5.1,24.25,589721,23,24,cbr,1000,26,3675,6250,6250000,Router,server1,54.42056,54.42096,54.43104,0.0004,124.942427,124942,1000,0.059605,0.0008,54.4,54.43104,25,75.02304,Normal
9,24.9,319367,21,23,tcp,1540,10,9552,16085,24770900,Switch1,Router,30.133089,30.133089,30.143212,0,328.063862,505218,1540,0.236234,0,30.122965,30.153335,1,50.030088,Normal
12.1,24.32,444985,23,24,cbr,1000,33,1845,6250,6250000,Router,server1,39.78032,39.780542,39.790622,0.000222,124.943426,124943,1000,0.059605,0.000382,39.76,39.790622,25,75.02264,Normal
24.6,6,375209,23,21,ack,55,7,10962,16091,885005,Router,Switch1,34.418286,34.418286,34.42829,0,328.19309,18050.6,55,0.00844,0,34.408283,34.438293,1.030048,50.059112,Normal
10,24.1,270765,22,23,tcp,1540,11,8343,16103,24798600,Switch2,Router,26.404734,26.404734,26.414858,0,328.561898,505985,1540,0.236498,0,26.394611,26.424981,1,50.010552,Normal
24.1,10,519501,22,10,ack,55,11,14603,16103,885665,Switch2,clien-10,45.497378,45.497378,45.507381,0,328.561918,18070.9,55,0.008446,0,45.477371,45.507381,1.030013,50.040562,Normal
24.2,2,476587,21,2,ack,55,3,13512,16091,885005,Switch1,clien-2,42.204487,42.204487,42.21449,0,328.26412,18054.5,55,0.00844,0,42.18448,42.21449,1.030022,50.048477,Normal
8,24.8,12118,21,23,tcp,1540,9,375,16088,24775500,Switch1,Router,2.361883,2.361883,2.372006,0,328.11323,505294,1540,0.236278,0,2.35176,2.38213,1,50.031854,Normal
24.1,10,401318,23,22,ack,55,11,11625,16103,885665,Router,Switch2,36.420511,36.420511,36.430514,0,328.561918,18070.9,55,0.008446,0,36.410508,36.440518,1.030013,50.040562,Normal
14,24.14,94083,14,22,tcp,1540,15,2938,16103,24798600,clien-14,Switch2,10.071058,10.071058,10.081181,0,328.431807,505785,1540,0.236498,0,10.071058,10.101427,1,50.029965,Normal
13.1,24.33,629606,13,22,cbr,1000,34,5655,6250,6250000,clien-13,Switch2,70.24,70.24,70.25008,0,124.943026,124943,1000,0.059605,0.00056,70.24,70.2708,25,75.0228,Normal
24.11,11,483880,22,11,ack,55,12,13703,16103,885665,Switch2,clien-11,42.764154,42.764154,42.774157,0,328.522947,18068.8,55,0.008446,0,42.744147,42.774157,1.030019,50.046382,Normal
11.2,24.53,21184,23,24,cbr,1500,32,812,9108,13662000,router,server1,20.770251,20.771734,20.781854,0.001483,1016.449678,1524670,1500,0.130291,0.033283,20.748571,20.781854,1,9.960601,UDP-Flood
24.7,7,113878,21,7,ack,55,8,3544,16090,884950,Switch1,clien-7,11.955355,11.955355,11.965358,0,328.167767,18049.2,55,0.00844,0,11.935349,11.965358,1.030051,50.059851,Normal
24.13,13,70181,24,23,ack,55,14,2190,16103,885665,server1,Router,7.820939,7.820939,7.830942,0,328.460278,18065.3,55,0.008446,0,7.820939,7.850949,1.030032,50.055747,Normal
10,24.1,204426,22,23,tcp,1540,11,6384,16103,24798600,Switch2,Router,20.471208,20.471208,20.481331,0,328.561898,505985,1540,0.236498,0,20.461085,20.491454,1,50.010552,Normal
17.2,24.59,2405,22,23,cbr,1500,38,94,9108,13662000,switch2,router,3.204886,3.207766,3.217886,0.00288,1016.424609,1524640,1500,0.130291,0.036997,3.194286,3.231283,1,9.960822,UDP-Flood
3,24.3,124812,21,23,tcp,1540,4,3894,16091,24780100,Switch1,Router,12.97507,12.97507,12.985194,0,328.240918,505490,1540,0.236321,0,12.964947,12.995317,1,50.02192,Normal
6,24.6,167413,6,21,tcp,1540,7,5226,16091,24780100,clien-6,Switch1,16.976758,16.976758,16.986881,0,328.192835,505416,1540,0.236321,0,16.976758,17.007128,1,50.029102,Normal
